 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
==================================================================================================
  00 | 0000  0000 |  000  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADD     REG8/MEM8,REG8
  01 | 0000  0001 |  001  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADD     REG16/MEM16,REG16
  02 | 0000  0010 |  002  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADD     REG8,REG8/MEM8
  03 | 0000  0011 |  003  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADD     REG16,REG16/MEM16
  04 | 0000  0100 |  004  | DATA-8      |                      | ADD     AL,IMMED8
  05 | 0000  0101 |  005  | DATA-LO     | DATA-HI              | ADD     AX,IMMED16
  06 | 0000  0110 |  006  |             |                      | PUSH    ES
  07 | 0000  0111 |  007  |             |                      | POP     ES
  08 | 0000  1000 |  010  | MOD REG R/M | (DISP-LO),(DISP-HI)  | OR      REG8/MEM8,REG8
  09 | 0000  1001 |  011  | MOD REG R/M | (DISP-LO),(DISP-HI)  | OR      REG16/MEM16,REG16
  0A | 0000  1010 |  012  | MOD REG R/M | (DISP-LO),(DISP-HI)  | OR      REG8,REG8/MEM8
  0B | 0000  1011 |  013  | MOD REG R/M | (DISP-LO),(DISP-HI)  | OR      REG16,REG16/MEM16
  0C | 0000  1100 |  014  | DATA-8      |                      | OR      AL,IMMED8
  0D | 0000  1101 |  015  | DATA-LO     | DATA-HI              | OR      AX,IMMED16
  0E | 0000  1110 |  016  |             |                      | PUSH    CS
  0F | 0000  1111 |  017  |             |                      | (not used)
  10 | 0001  0000 |  020  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADC     REG8/MEM8,REG8
  11 | 0001  0001 |  021  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADC     REG16/MEM16,REG16
  12 | 0001  0010 |  022  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADC     REG8,REG8/MEM8
  13 | 0001  0011 |  023  | MOD REG R/M | (DISP-LO),(DISP-HI)  | ADC     REG16,REG16/MEM16
  14 | 0001  0100 |  024  | DATA-8      |                      | ADC     AL,IMMED8
  15 | 0001  0101 |  025  | DATA-LO     | DATA-HI              | ADC     AX,IMMED16
  16 | 0001  0110 |  026  |             |                      | PUSH    SS
  17 | 0001  0111 |  027  |             |                      | POP     SS
